Number,Name,Elevation (m),Region,County,Grid ref,Latitude,Longitude,Status
1,Ben Chonzie,930.4,01A: Loch Tay to Perth,Perth and Kinross,NN773308,56.453851,-3.992057,Completed
17,Ben Vorlich,985.3,01B: Strathyre to Strathallan,Perth and Kinross,NN629189,56.34268,-4.219464,Completed
18,Stuc a' Chroin,973.0,01B: Strathyre to Strathallan,Perth and Kinross/Stirling,NN617174,56.329315,-4.237533,Completed
26,Ben More,1173.9,01C: Loch Lomond to Strathyre,Stirling,NN432244,56.385952,-4.540087,Completed
27,Stob Binnein,1164.8,01C: Loch Lomond to Strathyre,Stirling,NN434227,56.370708,-4.535768,Completed
30,Cruach Ardrain,1045.9,01C: Loch Lomond to Strathyre,Stirling,NN409212,56.356438,-4.576152,Completed
31,An Caisteal,995.9,01C: Loch Lomond to Strathyre,Stirling,NN378193,56.338618,-4.62437,Completed
32,Ben Lomond,973.7,01C: Loch Lomond to Strathyre,Stirling,NN367028,56.190302,-4.63301,Completed
35,Beinn Tulaichean,945.8,01C: Loch Lomond to Strathyre,Stirling,NN416196,56.342234,-4.563315,Completed
38,Beinn Chabhair,932.2,01C: Loch Lomond to Strathyre,Stirling,NN367179,56.325779,-4.641476,Completed
65,Ben Lui [Beinn Laoigh],1131.4,01D: Inveraray to Crianlarich,Stirling,NN266262,56.397004,-4.810509,Completed
67,Ben Oss,1029.8,01D: Inveraray to Crianlarich,Stirling,NN287253,56.389027,-4.775195,To Do
68,Beinn Ime,1012.2,01D: Inveraray to Crianlarich,Argyll and Bute,NN255084,56.236803,-4.817141,Completed
69,Beinn Dubhchraig,978.6,01D: Inveraray to Crianlarich,Stirling,NN307254,56.391295,-4.743193,To Do
70,Beinn Bhuidhe,948.5,01D: Inveraray to Crianlarich,Argyll and Bute,NN203187,56.326686,-4.906709,To Do
71,Ben Vorlich,942.8,01D: Inveraray to Crianlarich,Argyll and Bute,NN295124,56.274021,-4.755046,To Do
74,Beinn Narnain,926.8,01D: Inveraray to Crianlarich,Argyll and Bute,NN271066,56.220956,-4.789003,Completed
75,Beinn a' Chleibh,916.3,01D: Inveraray to Crianlarich,Argyll and Bute/Stirling,NN250256,56.39023,-4.83563,Completed
76,Ben Vane,915.76,01D: Inveraray to Crianlarich,Argyll and Bute,NN277098,56.249786,-4.781655,Completed
103,Schiehallion,1083.3,02A: Loch Rannoch to Glen Lyon,Perth and Kinross,NN713547,56.666942,-4.10023,To Do
104,Beinn a' Chreachain,1080.6,02A: Loch Rannoch to Glen Lyon,Perth and Kinross,NN373440,56.560387,-4.647573,To Do
105,Beinn Dorain,1076.0,02A: Loch Rannoch to Glen Lyon,Argyll and Bute,NN325378,56.50287,-4.722173,Completed
107,Carn Mairg,1043.0,02A: Loch Rannoch to Glen Lyon,Perth and Kinross,NN684512,56.634635,-4.145624,Completed
108,Beinn Achaladair,1038.6,02A: Loch Rannoch to Glen Lyon,Argyll and Bute/Perth and Kinross,NN344432,56.551909,-4.694515,To Do
109,Carn Gorm,1029.5,02A: Loch Rannoch to Glen Lyon,Perth and Kinross,NN635500,56.622528,-4.226037,Completed
112,Beinn an Dothaidh,1002.3,02A: Loch Rannoch to Glen Lyon,Argyll and Bute,NN331408,56.53013,-4.713981,Completed
115,Meall na Aighean,982.1,02A: Loch Rannoch to Glen Lyon,Perth and Kinross,NN694496,56.620627,-4.128741,Completed
118,Meall Garbh,967.5,02A: Loch Rannoch to Glen Lyon,Perth and Kinross,NN647516,56.637381,-4.207472,Completed
120,Stuc an Lochain [Stuchd an Lochain],959.5,02A: Loch Rannoch to Glen Lyon,Perth and Kinross,NN483448,56.570907,-4.470602,Completed
122,Beinn Mhanach,952.5,02A: Loch Rannoch to Glen Lyon,Perth and Kinross,NN373411,56.534032,-4.646042,To Do
123,Meall Buidhe,932.1,02A: Loch Rannoch to Glen Lyon,Perth and Kinross,NN498499,56.617231,-4.448608,Completed
141,Ben Lawers,1214.3,02B: Glen Lyon to Glen Dochart & Loch Tay,Perth and Kinross,NN635414,56.544921,-4.220876,Completed
142,An Stuc,1117.1,02B: Glen Lyon to Glen Dochart & Loch Tay,Perth and Kinross,NN638431,56.560084,-4.216248,Completed
143,Meall Garbh,1123.1,02B: Glen Lyon to Glen Dochart & Loch Tay,Perth and Kinross,NN644437,56.566131,-4.207698,Completed
144,Beinn Ghlas,1103.4,02B: Glen Lyon to Glen Dochart & Loch Tay,Perth and Kinross,NN625404,56.535996,-4.236992,Completed
